Symbol,Description,Price,Price - Currency,"Dividend yield %, Trailing 12 months","Dividends per share, Annual","Dividends per share, Annual - Currency",Sector
NVDA,NVIDIA Corporation,190.263,USD,0.0208822761681023,0.034,USD,Electronic technology
AAPL,Apple Inc.,274.35,USD,0.386956195055977,1.02,USD,Electronic technology
GOOG,Alphabet Inc.,308.415,USD,0.266290224261285,0.83,USD,Technology services
MSFT,Microsoft Corporation,388.29,USD,0.884334278357219,3.32,USD,Technology services
AMZN,"Amazon.com, Inc.",206.559,USD,0,0,USD,Retail trade
META,"Meta Platforms, Inc.",636.68,USD,0.329540996469204,2.1,USD,Technology services
AVGO,Broadcom Inc.,323.5251,USD,0.732578555427741,2.36,USD,Electronic technology
TSLA,"Tesla, Inc.",403.513,USD,0,0,USD,Consumer durables
BRK.A,Berkshire Hathaway Inc.,735999,USD,0,0,USD,Finance
WMT,Walmart Inc.,126.165,USD,0.747158413480645,0.94,USD,Retail trade
LLY,Eli Lilly and Company,1039.68,USD,0.566807738814994,6,USD,Health technology
JPM,JP Morgan Chase & Co.,296.3805,USD,1.94846642254846,5.8,USD,Finance
XOM,Exxon Mobil Corporation,148.89,USD,2.65322366675511,4,USD,Energy minerals
JNJ,Johnson & Johnson,246.16,USD,2.09079075821673,5.14,USD,Health technology
V,Visa Inc.,307.43,USD,0.796032885292966,2.36,USD,Finance
MU,"Micron Technology, Inc.",429.3716,USD,0.109271444520987,0.46,USD,Electronic technology
MA,Mastercard Incorporated,494.04,USD,0.635042235348668,3.15,USD,Finance
COST,Costco Wholesale Corporation,989.79,USD,0.527372669925559,4.92,USD,Retail trade
ORCL,Oracle Corporation,145,USD,1.41532800226452,1.7,USD,Technology services
ORCL/PD,"Oracle Corporation Depositary Shares, each representing a 1/2,000th interest in a sh of 6.50% Series D Mandatory Convertible Preferred Stock",45.8587,USD,1.41532800226452,1.7,USD,Technology services
ABBV,AbbVie Inc.,229.35,USD,2.89785602231131,6.65,USD,Health technology
HD,"Home Depot, Inc. (The)",391.81,USD,2.44038303403273,9,USD,Retail trade
PG,Procter & Gamble Company (The),164.98,USD,2.55930253678029,4.0763,USD,Consumer non-durables
CVX,Chevron Corporation,184.55,USD,3.69909685793089,6.84,USD,Energy minerals
BAC,Bank of America Corporation,50.34,USD,2.11474446837674,1.08,USD,Finance
CAT,"Caterpillar, Inc.",764.69,USD,0.78522611603897,5.94,USD,Producer manufacturing
GE,GE Aerospace,333.9,USD,0.424791291778518,1.44,USD,Electronic technology
KO,Coca-Cola Company (The),80.165,USD,2.53227408142999,2.04,USD,Consumer non-durables
AMD,"Advanced Micro Devices, Inc.",208.36,USD,0,0,USD,Electronic technology
BABA,Alibaba Group Holding Limited,151.29,USD,0.674172012043461,1.03,USD,Retail trade
NFLX,"Netflix, Inc.",76.775,USD,0,0,USD,Technology services
PLTR,Palantir Technologies Inc.,129.66,USD,0,0,USD,Technology services
CSCO,"Cisco Systems, Inc.",78.19,USD,2.1095960895292,1.62,USD,Electronic technology
MRK,"Merck & Company, Inc.",123.135,USD,2.64900662251656,3.28,USD,Health technology
LRCX,Lam Research Corporation,244.2401,USD,0.404507367812771,0.92,USD,Producer manufacturing
AMAT,"Applied Materials, Inc.",375.28,USD,0.476509168785972,1.78,USD,Producer manufacturing
PM,Philip Morris International Inc,186.52,USD,3.01249866467258,5.64,USD,Consumer non-durables
GS,"Goldman Sachs Group, Inc. (The)",903.12,USD,1.56896145958243,14,USD,Finance
RTX,RTX Corporation,197.95,USD,1.3223058637084,2.67,USD,Electronic technology
MS,Morgan Stanley,167.3,USD,2.3531175059952,3.85,USD,Finance
WFC,Wells Fargo & Company,83.84,USD,1.99647680563711,1.7,USD,Finance
UNH,UnitedHealth Group Incorporated,277.265,USD,3.09201671743288,8.73,USD,Health services
TMUS,"T-Mobile US, Inc.",221.42,USD,1.66401454876108,3.66,USD,Communications
MCD,McDonald's Corporation,334.9219,USD,2.14311334289813,7.17,USD,Consumer services
LIN,Linde plc,497.9357,USD,1.20435978241233,6,USD,Process industries
PEP,"PepsiCo, Inc.",168.89,USD,3.34036359315589,5.6225,USD,Consumer non-durables
GEV,GE Vernova Inc.,850.51,USD,0.150294577371648,0.75,USD,Producer manufacturing
INTC,Intel Corporation,44.35,USD,0,0,USD,Electronic technology
AXP,American Express Company,320.4,USD,1.02104345660565,3.28,USD,Finance
IBM,International Business Machines Corporation,233.62,USD,3.00425341392433,6.71,USD,Technology services
VZ,Verizon Communications Inc.,49.74,USD,5.50523349436393,2.735,USD,Communications
AMGN,Amgen Inc.,381.39,USD,2.50909282589215,9.52,USD,Health technology
TXN,Texas Instruments Incorporated,220.72,USD,2.52888201582825,5.5,USD,Electronic technology
ABT,Abbott Laboratories,114.9,USD,2.08170699973979,2.4,USD,Health technology
T,AT&T Inc.,28.43,USD,3.89200561009818,1.11,USD,Communications
KLAC,KLA Corporation,1515.485,USD,0.49742548700644,6.75,USD,Electronic technology
NEE,"NextEra Energy, Inc.",94.36,USD,2.40910057410164,2.266,USD,Utilities
TMO,Thermo Fisher Scientific Inc,518.03,USD,0.333049337773991,1.72,USD,Health technology
C,"Citigroup, Inc.",110.78,USD,2.09480812641084,2.32,USD,Finance
C/PR,"Citigroup Inc. Depositary Shares, Each Representing a 1/1,000th Interest in a Share of 6.250% Noncumulative Preferred Stock, Series II",25.41,USD,2.09480812641084,2.32,USD,Finance
DIS,Walt Disney Company (The),105.83,USD,1.19720333301408,1,USD,Consumer services
BA,Boeing Company (The),234.69,USD,0,0,USD,Electronic technology
GILD,"Gilead Sciences, Inc.",148.5,USD,2.10905693118868,3.16,USD,Health technology
APH,Amphenol Corporation,146.915,USD,0.503991340819916,0.745,USD,Electronic technology
ADI,"Analog Devices, Inc.",360.875,USD,1.11502182176545,3.89,USD,Electronic technology
ISRG,"Intuitive Surgical, Inc.",495.06,USD,0,0,USD,Health technology
TJX,"TJX Companies, Inc. (The)",157.9,USD,1.04635677595282,1.5,USD,Retail trade
DE,Deere & Company,645.45,USD,1.00179333374559,6.48,USD,Producer manufacturing
BLK,"BlackRock, Inc.",1068.195,USD,1.94582683635073,20.84,USD,Finance
CRM,"Salesforce, Inc.",185.06,USD,0.933991917377638,1.6,USD,Technology services
SCCO,Southern Copper Corporation,208.57,USD,1.45283226273847,1.9818171,USD,Non-energy minerals
SCHW,Charles Schwab Corporation (The),93.25,USD,1.1644204851752,1.08,USD,Finance
ANET,"Arista Networks, Inc.",126.05,USD,0,0,USD,Electronic technology
UNP,Union Pacific Corporation,265.67,USD,2.06248104337276,5.44,USD,Transportation
LOW,"Lowe's Companies, Inc.",280.32,USD,1.73130193905817,4.55,USD,Retail trade
QCOM,QUALCOMM Incorporated,146.1547,USD,2.50694394986112,3.48,USD,Electronic technology
SHOP,Shopify Inc.,119.31,USD,0,0,USD,Commercial services
HON,Honeywell International Inc.,244.76,USD,1.88430840121781,4.58,USD,Electronic technology
PFE,"Pfizer, Inc.",27.2655,USD,6.35624538063563,1.72,USD,Health technology
LMT,Lockheed Martin Corporation,655.785,USD,2.02082891828888,13.35,USD,Electronic technology
DHR,Danaher Corporation,211.84,USD,0.606865162146786,1.28,USD,Health technology
PDD,PDD Holdings Inc.,105.33,USD,0,0,USD,Retail trade
SYK,Stryker Corporation,383.655,USD,0.883736646479349,3.4,USD,Health technology
UBER,"Uber Technologies, Inc.",71.115,USD,0,0,USD,Transportation
WELL,Welltower Inc.,207.3,USD,1.34580509687888,2.82,USD,Finance
ETN,"Eaton Corporation, PLC",371.75,USD,1.14901256732496,4.16,USD,Producer manufacturing
BX,Blackstone Inc.,115.905,USD,4.12452730630551,4.69,USD,Finance
PLD,"Prologis, Inc.",140.5224,USD,2.87054142390223,4.04,USD,Finance
COP,ConocoPhillips,109.5,USD,2.89406625409538,3.18,USD,Energy minerals
ARM,Arm Holdings plc,129.06,USD,0,0,USD,Electronic technology
CB,Chubb Limited,333.04,USD,1.14580521311377,3.82,USD,Finance
NEM,Newmont Corporation,120.23,USD,0.804828973843058,1,USD,Non-energy minerals
PH,Parker-Hannifin Corporation,1019.75,USD,0.696750151144236,6.69,USD,Producer manufacturing
GLW,Corning Incorporated,149.39,USD,0.771084337349398,1.12,USD,Electronic technology
BKNG,Booking Holdings Inc. Common Stock,4005.865,USD,0.992035299922756,38.4,USD,Consumer services
MDT,Medtronic plc.,98.39,USD,2.86989149173512,2.8,USD,Health technology
BMY,Bristol-Myers Squibb Company,61.72,USD,4.06530612244898,2.49,USD,Health technology
APP,Applovin Corporation,372.445,USD,0,0,USD,Technology services
ACN,Accenture plc,202.375,USD,3.09175862411771,5.92,USD,Technology services
VRTX,Vertex Pharmaceuticals Incorporated,486.06,USD,0,0,USD,Health technology
SPGI,S&P Global Inc.,411.481,USD,0.948663471515391,3.84,USD,Commercial services
IBKR,"Interactive Brokers Group, Inc.",71.695,USD,0.422840369024322,0.3025,USD,Finance
PGR,Progressive Corporation (The),203.98,USD,6.82409543914772,13.9,USD,Finance
PANW,"Palo Alto Networks, Inc.",146.19,USD,0,0,USD,Technology services
COF,Capital One Financial Corporation,191.8,USD,1.36842105263158,2.4,USD,Finance
HCA,"HCA Healthcare, Inc.",526.045,USD,0.537343508032166,2.88,USD,Health services
MCK,McKesson Corporation,944.84,USD,0.32235975770345,2.75,USD,Distribution services
MO,"Altria Group, Inc.",68.78,USD,6.03073354595535,4.16,USD,Consumer non-durables
CME,CME Group Inc.,316.895,USD,1.59235668789809,5,USD,Finance
CMCSA,Comcast Corporation,31.62,USD,4.17325324059437,1.32,USD,Consumer services
BSX,Boston Scientific Corporation,75.03,USD,0,0,USD,Health technology
NOW,"ServiceNow, Inc.",105.185,USD,0,0,USD,Technology services
CEG,Constellation Energy Corporation,302.52,USD,0.527978216473792,1.41,USD,Utilities
BN,Brookfield Corporation,44.04,USD,0.553228954094277,0.24284239341999997,USD,Finance
SBUX,Starbucks Corporation,94.46,USD,2.58493353028065,2.44,USD,Consumer services
SO,Southern Company (The),94.1999,USD,3.08888421937382,2.94,USD,Utilities
ADBE,Adobe Inc.,256.1008,USD,0,0,USD,Technology services
INTU,Intuit Inc.,370.12,USD,1.24600194687804,4.16,USD,Technology services
HWM,Howmet Aerospace Inc.,256.875,USD,0.171179582944289,0.44,USD,Electronic technology
TT,Trane Technologies plc,463.02,USD,0.817497934513197,3.76,USD,Producer manufacturing
NOC,Northrop Grumman Corporation,720.01,USD,1.23933332414288,8.99,USD,Electronic technology
DUK,Duke Energy Corporation (Holding Company),126.7601,USD,3.30229282416464,4.22,USD,Utilities
UPS,"United Parcel Service, Inc.",116.03,USD,5.70335593809772,6.56,USD,Transportation
SNDK,Sandisk Corporation,667.269,USD,0,0,USD,Electronic technology
SPOT,Spotify Technology S.A.,474.87,USD,0,0,USD,Technology services
FCX,"Freeport-McMoRan, Inc.",67.135,USD,0.91533180778032,0.6,USD,Non-energy minerals
CVS,CVS Health Corporation,75.42,USD,3.45454545454545,2.66,USD,Retail trade
MELI,"MercadoLibre, Inc.",1891.495,USD,0,0,USD,Retail trade
NKE,"Nike, Inc.",64.51,USD,2.55190996988429,1.57,USD,Consumer non-durables
GD,General Dynamics Corporation,350.97,USD,1.71929623474125,6,USD,Electronic technology
VRT,"Vertiv Holdings, LLC",247.85,USD,0.0713063320022818,0.175,USD,Electronic technology
WDC,Western Digital Corporation,279.255,USD,0.115897582198131,0.1,USD,Electronic technology
WM,"Waste Management, Inc.",232.2,USD,1.43129770992366,3.3,USD,Industrial services
EQIX,"Equinix, Inc.",950.41,USD,1.98384163106468,18.76,USD,Finance
MAR,Marriott International,344.2025,USD,0.770532951958438,2.64,USD,Consumer services
SHW,Sherwin-Williams Company (The),366.26,USD,0.867488401460455,3.16,USD,Process industries
FDX,FedEx Corporation,384.06,USD,1.49331526413177,5.52,USD,Transportation
CRWD,"CrowdStrike Holdings, Inc.",353.86,USD,0,0,USD,Technology services
AMT,American Tower Corporation (REIT),191.38,USD,3.57800578795054,6.48,USD,Finance
STX,Seagate Technology Holdings PLC,406.82,USD,0.711831124202258,2.86,USD,Electronic technology
PNC,"PNC Financial Services Group, Inc. (The)",219.36,USD,3.03483263124519,6.6,USD,Finance
WMB,"Williams Companies, Inc. (The)",72.43,USD,2.74047684297068,2,USD,Industrial services
ICE,Intercontinental Exchange Inc.,155.4,USD,1.24594419208306,1.92,USD,Finance
MMM,3M Company,166.82,USD,1.75544066370085,2.92,USD,Producer manufacturing
JCI,Johnson Controls International plc,143.485,USD,1.05720086816495,1.51,USD,Producer manufacturing
ECL,Ecolab Inc.,307.995,USD,0.8767625216737,2.68,USD,Process industries
USB,U.S. Bancorp,55.33,USD,3.65525891417309,2.04,USD,Finance
ITW,Illinois Tool Works Inc.,295.27,USD,2.12127412864061,6.22,USD,Producer manufacturing
MRSH,Marsh,175.525,USD,1.98598790892141,3.515,USD,Finance
RCL,Royal Caribbean Cruises Ltd.,313,USD,1.15648955855141,3.5,USD,Consumer services
KKR,KKR & Co. Inc.,94.205,USD,0.791842933073001,0.73,USD,Finance
EMR,Emerson Electric Company,149.23,USD,1.4689712047282,2.11,USD,Electronic technology
REGN,"Regeneron Pharmaceuticals, Inc.",790.95,USD,0.447245375076235,3.52,USD,Health technology
ADP,"Automatic Data Processing, Inc.",205.97,USD,3.0719875565061,6.02,USD,Technology services
MNST,Monster Beverage Corporation,84.62,USD,0,0,USD,Consumer non-durables
SNPS,"Synopsys, Inc.",431.3,USD,0,0,USD,Technology services
CMI,Cummins Inc.,596.9,USD,1.30073549441569,7.64,USD,Producer manufacturing
PWR,"Quanta Services, Inc.",548.56,USD,0.0746662781592031,0.41,USD,Industrial services
CRH,CRH PLC,121.48,USD,1.21820725985678,1.5,USD,Non-energy minerals
DELL,Dell Technologies Inc.,122.2,USD,1.76263219741481,1.78,USD,Electronic technology
ORLY,"O'Reilly Automotive, Inc.",95.12,USD,0,0,USD,Retail trade
BK,The Bank of New York Mellon Corporation,116.24,USD,1.78293231781201,2,USD,Finance
CTAS,Cintas Corporation,198.81,USD,0.847073060051429,1.56,USD,Commercial services
MCO,Moody's Corporation,447.94,USD,0.86019537416211,3.76,USD,Commercial services
CDNS,"Cadence Design Systems, Inc.",290.5,USD,0,0,USD,Technology services
CSX,CSX Corporation,42.259,USD,1.2389802239695,0.52,USD,Transportation
EPD,Enterprise Products Partners L.P.,36.3,USD,5.98184818481848,2.16,USD,Industrial services
BAM,Brookfield Asset Management Inc,47.935,USD,3.72025133282559,1.778515629,USD,Finance
NU,Nu Holdings Ltd.,16.1397,USD,0,0,USD,Finance
CL,Colgate-Palmolive Company,96.84,USD,2.14212152420185,2.06,USD,Consumer non-durables
MDLZ,"Mondelez International, Inc.",60.83,USD,3.2129844319311,1.94,USD,Consumer non-durables
ABNB,"Airbnb, Inc.",126.9715,USD,0,0,USD,Consumer services
SLB,SLB Limited,51.625,USD,2.2248243559719,1.14,USD,Industrial services
MSI,"Motorola Solutions, Inc.",463.97,USD,0.963378706750102,4.48,USD,Electronic technology
CI,The Cigna Group,281.905,USD,2.1329189914542,6.04,USD,Health services
GM,General Motors Company,82.445,USD,0.715541049460206,0.57,USD,Consumer durables
CVNA,Carvana Co.,337.33,USD,0,0,USD,Retail trade
DASH,"DoorDash, Inc.",169.49,USD,0,0,USD,Transportation
TDG,Transdigm Group Inc.,1289.3,USD,0,0,USD,Electronic technology
ELV,"Elevance Health, Inc.",329.87,USD,2.03650221812011,6.84,USD,Health services
WBD,"Warner Bros. Discovery, Inc. - Series A",29.1093,USD,0,0,USD,Consumer services
KMI,"Kinder Morgan, Inc.",32.405,USD,3.56269113149847,1.165,USD,Industrial services
HLT,Hilton Worldwide Holdings Inc.,313.09,USD,0.192431045542014,0.6,USD,Consumer services
NTES,"NetEase, Inc.",116.29,USD,2.60057594773489,2.965,USD,Technology services
NSC,Norfolk Southern Corporation,315.13,USD,1.71412246452719,5.4,USD,Transportation
AEP,"American Electric Power Company, Inc.",130.63,USD,2.832689540256,3.74,USD,Utilities
COR,"Cencora, Inc.",362.43,USD,0.614703712810425,2.2,USD,Distribution services
TEL,TE Connectivity plc,236.32,USD,1.2020062262193,2.72,USD,Electronic technology
MRVL,"Marvell Technology, Inc.",78.91,USD,0.308522946394138,0.24,USD,Electronic technology
RSG,"Republic Services, Inc.",221.66,USD,1.08956101089561,2.41,USD,Industrial services
AON,Aon plc,316.16,USD,0.922901271764296,2.91,USD,Finance
APO,"Apollo Global Management, Inc. (New)",115.17,USD,1.75195638793634,1.9925,USD,Finance
PCAR,PACCAR Inc.,126.82,USD,1.04712041884817,1.32,USD,Producer manufacturing
EOG,"EOG Resources, Inc.",122.545,USD,3.26220259995095,3.705,USD,Energy minerals
SE,Sea Limited,107.87,USD,0,,,Retail trade
TRV,"The Travelers Companies, Inc.",303.77,USD,1.42440813386162,4.35,USD,Finance
LHX,"L3Harris Technologies, Inc.",351.66,USD,1.35157965872614,4.72,USD,Electronic technology
SPG,"Simon Property Group, Inc.",199.515,USD,4.27350427350427,8.55,USD,Finance
ROST,"Ross Stores, Inc.",200.84,USD,0.80241715785824,1.47,USD,Retail trade
MDLN,Medline Inc.,49.27,USD,0,,,Health technology
ET,Energy Transfer LP,18.725,USD,6.98724760892668,1.315,USD,Industrial services
TFC,Truist Financial Corporation,49.995,USD,4.15252545418247,2.08,USD,Finance
HOOD,"Robinhood Markets, Inc.",70.5899,USD,0,0,USD,Finance
AZO,"AutoZone, Inc.",3820,USD,0,0,USD,Retail trade
BKR,Baker Hughes Company,63.97,USD,1.44495052615046,0.92,USD,Industrial services
APD,"Air Products and Chemicals, Inc.",283.14,USD,2.52780229479259,7.14,USD,Process industries
O,Realty Income Corporation,66.53,USD,4.83353329334133,3.133,USD,Finance
PSX,Phillips 66,152.7,USD,3.06748466257669,4.75,USD,Energy minerals
AU,AngloGold Ashanti PLC,120.5185,USD,0.751568692206076,1.96,USD,Non-energy minerals
DLR,"Digital Realty Trust, Inc.",176.7651,USD,2.771310125504,4.88,USD,Finance
SRE,DBA Sempra,92.7,USD,2.75641025641026,2.48,USD,Utilities
NXPI,NXP Semiconductors N.V.,238.36,USD,1.75462882851704,4.056,USD,Electronic technology
VLO,Valero Energy Corporation,195.58,USD,2.28988297279497,4.52,USD,Energy minerals
MPLX,MPLX LP,58.45,USD,6.7108843537415,3.946,USD,Industrial services
AFL,AFLAC Incorporated,112.17,USD,2.06497552291945,2.32,USD,Finance
MPC,Marathon Petroleum Corporation,192.57,USD,1.93444663416658,3.73,USD,Energy minerals
MPWR,"Monolithic Power Systems, Inc.",1196.77,USD,0.524343310421323,6.24,USD,Electronic technology
NET,"Cloudflare, Inc.",163.765,USD,0,0,USD,Technology services
FTNT,"Fortinet, Inc.",76.7,USD,0,0,USD,Technology services
F,Ford Motor Company,14.265,USD,5.49853372434018,0.75,USD,Consumer durables
VST,Vistra Corp.,167.66,USD,0.537246722288439,0.8735,USD,Utilities
URI,"United Rentals, Inc.",897.11,USD,0.811147615271327,7.16,USD,Finance
SNOW,Snowflake Inc.,161.32,USD,0,0,USD,Technology services
AJG,Arthur J. Gallagher & Co.,212.38,USD,1.21308262958988,2.6,USD,Finance
ZTS,Zoetis Inc.,128.81,USD,1.61380077907624,2.03,USD,Health technology
D,"Dominion Energy, Inc.",63.33,USD,4.15693601120972,2.67,USD,Utilities
AME,"AMETEK, Inc.",234.04,USD,0.535752862389285,1.24,USD,Producer manufacturing
PSA,Public Storage,303.41,USD,3.93107514905327,12,USD,Finance
ALL,Allstate Corporation (The),206.42,USD,1.94024058983314,4,USD,Finance
CARR,Carrier Global Corporation,63.935,USD,1.4418531358336,0.915,USD,Producer manufacturing
GWW,"W.W. Grainger, Inc.",1122.755,USD,0.790687262144616,8.83,USD,Distribution services
BDX,"Becton, Dickinson and Company",186.315,USD,2.26212433546707,4.16,USD,Health technology
CAH,"Cardinal Health, Inc.",222.17,USD,0.906369540076506,2.0275,USD,Distribution services
OKE,"ONEOK, Inc.",83.085,USD,4.71773731821825,3.96,USD,Industrial services
CTVA,"Corteva, Inc.",77.33,USD,0.915511378498561,0.7,USD,Process industries
FAST,Fastenal Company,45.24,USD,1.99778024417314,0.875,USD,Distribution services
TGT,Target Corporation,114.48,USD,3.98800070584083,4.46,USD,Retail trade
KEYS,Keysight Technologies Inc.,297.175,USD,0,0,USD,Electronic technology
OXY,Occidental Petroleum Corporation,51.65,USD,1.83101277894335,0.96,USD,Energy minerals
TER,"Teradyne, Inc.",324.11,USD,0.150706436420722,0.48,USD,Electronic technology
IDXX,"IDEXX Laboratories, Inc.",634.875,USD,0,0,USD,Health technology
EA,Electronic Arts Inc.,200.78,USD,0.379090183559457,0.76,USD,Technology services
FIX,"Comfort Systems USA, Inc.",1425.2,USD,0.137948598230013,1.95,USD,Industrial services
CRWV,"CoreWeave, Inc.",96.01,USD,0,,,Technology services
FERG,Ferguson Enterprises Inc.,254.98,USD,1.34495244916637,3.32,USD,Distribution services
FANG,"Diamondback Energy, Inc.",173.12,USD,2.30123115866989,8.29,USD,Energy minerals
TRGP,"Targa Resources, Inc.",229.11,USD,1.72510458446543,3.75,USD,Utilities
XEL,Xcel Energy Inc.,83.245,USD,2.73545290941812,2.28,USD,Utilities
CIEN,Ciena Corporation,345,USD,0,0,USD,Electronic technology
EXC,Exelon Corporation,47.7,USD,3.3195020746888,1.6,USD,Utilities
LITE,Lumentum Holdings Inc.,683.18,USD,0,0,USD,Producer manufacturing
MET,"MetLife, Inc.",74.785,USD,2.98710792131845,2.2475,USD,Finance
CCEP,Coca-Cola Europacific Partners plc,107.805,USD,2.16764350172109,2.33,USD,Consumer non-durables
GRMN,Garmin Ltd.,250.85,USD,1.20598947794415,3.45,USD,Electronic technology
DHI,"D.R. Horton, Inc.",166.47,USD,1.00456621004566,1.6,USD,Consumer durables
RKT,"Rocket Companies, Inc.",17.055,USD,0,0,USD,Finance
COHR,Coherent Corp.,254.26,USD,0,0,USD,Electronic technology
EW,Edwards Lifesciences Corporation,82.055,USD,0,0,USD,Health technology
CMG,"Chipotle Mexican Grill, Inc.",36.475,USD,0,0,USD,Consumer services
ADSK,"Autodesk, Inc.",224.02,USD,0,0,USD,Technology services
ETR,Entergy Corporation,104.0875,USD,2.32669018785163,2.44,USD,Utilities
LNG,"Cheniere Energy, Inc.",218.615,USD,0.920080591000672,1.805,USD,Industrial services
BIDU,"Baidu, Inc.",130.96,USD,0,0,USD,Technology services
BE,Bloom Energy Corporation,166.91,USD,0,0,USD,Electronic technology
YUM,"Yum! Brands, Inc.",167.67,USD,1.70621808350856,2.84,USD,Consumer services
HSY,The Hershey Company,227.005,USD,2.42402795594285,5.48,USD,Consumer non-durables
FITB,Fifth Third Bancorp,50.435,USD,3.03687635574837,1.54,USD,Finance
RBLX,Roblox Corporation,64.8,USD,0,0,USD,Technology services
NDAQ,"Nasdaq, Inc.",80.31,USD,1.31381381381381,1.05,USD,Finance
WAB,Westinghouse Air Brake Technologies Corporation,264.975,USD,0.380329365230289,1,USD,Producer manufacturing
DAL,"Delta Air Lines, Inc.",68.67,USD,1.00927033492823,0.675,USD,Transportation
UI,Ubiquiti Inc.,739.5,USD,0.385515627151315,2.4,USD,Electronic technology
ROK,"Rockwell Automation, Inc.",397.53,USD,1.36986301369863,5.24,USD,Producer manufacturing
KR,Kroger Company (The),68.605,USD,1.96308233225901,1.25,USD,Retail trade
ALNY,"Alnylam Pharmaceuticals, Inc.",326.11,USD,0,0,USD,Health technology
CBRE,CBRE Group Inc,145.62,USD,0,0,USD,Finance
CCL,Carnival Corporation,31.11,USD,0,0,USD,Consumer services
SYY,Sysco Corporation,89.29,USD,2.38175109023818,2.07,USD,Distribution services
MCHP,Microchip Technology Incorporated,78.92,USD,2.37597911227154,1.816,USD,Electronic technology
PEG,Public Service Enterprise Group Incorporated,85.505,USD,2.91970802919708,2.4,USD,Utilities
AIG,"American International Group, Inc. New",79.2643,USD,2.18804701175294,1.75,USD,Finance
VTR,"Ventas, Inc.",86.21,USD,2.21657815746941,1.92,USD,Finance
AMP,"Ameriprise Financial, Inc.",458.38,USD,1.38393053902772,6.28,USD,Finance
EL,"Estee Lauder Companies, Inc. (The)",114.99,USD,1.23871881082994,1.71,USD,Consumer non-durables
KDP,Keurig Dr Pepper Inc.,30.6,USD,3.09035942223715,0.89,USD,Consumer non-durables
MLM,"Martin Marietta Materials, Inc.",688.225,USD,0.473961380924517,3.24,USD,Non-energy minerals
COIN,"Coinbase Global, Inc. - 3",155.9205,USD,0,0,USD,Finance
MSTR,Strategy Inc,123.35,USD,0,0,USD,Technology services
HEI,Heico Corporation,346.45,USD,0.0693100759522916,0.23,USD,Electronic technology
ODFL,"Old Dominion Freight Line, Inc.",195.44,USD,0.577676913554776,1.12,USD,Transportation
VMC,Vulcan Materials Company (Holding Company),312.91,USD,0.630650921844332,1.96,USD,Non-energy minerals
PCG,Pacific Gas & Electric Co.,18.485,USD,0.676406926406926,0.125,USD,Utilities
TKO,"TKO Group Holdings, Inc.",208.08,USD,1.11677591648458,0,USD,Consumer services
NUE,Nucor Corporation,177.25,USD,1.23567235113223,2.21,USD,Non-energy minerals
PYPL,"PayPal Holdings, Inc.",43.44,USD,0.317820658342792,0.14,USD,Commercial services
MSCI,MSCI Inc.,543.85,USD,1.33732052972752,7.2,USD,Commercial services
ED,"Consolidated Edison, Inc.",110.45,USD,3.03192438023899,3.4,USD,Utilities
GEHC,GE HealthCare Technologies Inc.,84.85,USD,0.166944908180301,0.14,USD,Health technology
HIG,"The Hartford Insurance Group, Inc.",139.865,USD,1.53692898818842,2.16,USD,Finance
EBAY,eBay Inc.,85.73,USD,1.37587474795398,1.16,USD,Retail trade
CCI,Crown Castle Inc.,88.99,USD,5.41904218928164,4.7525,USD,Finance
RMD,ResMed Inc.,258.485,USD,0.866597645615246,2.12,USD,Health technology
LVS,Las Vegas Sands Corp.,55.81,USD,1.79468772433597,1,USD,Consumer services
WEC,"WEC Energy Group, Inc.",114.28,USD,3.08290155440414,3.57,USD,Utilities
TTWO,"Take-Two Interactive Software, Inc.",200.21,USD,0,0,USD,Technology services
RKLB,Rocket Lab Corporation,69.27,USD,0,0,USD,Electronic technology
IR,Ingersoll Rand Inc.,94.43,USD,0.0851607408984458,0.08,USD,Producer manufacturing
LYV,"Live Nation Entertainment, Inc.",158.7,USD,0,0,USD,Consumer services
DDOG,"Datadog, Inc.",104.305,USD,0,0,USD,Technology services
KMB,Kimberly-Clark Corporation,110.6,USD,4.56067324224052,5.04,USD,Consumer non-durables
EQT,EQT Corporation,58.5,USD,1.0799593427071,0.6375,USD,Energy minerals
ROP,"Roper Technologies, Inc.",339.26,USD,1.00834078045874,3.385,USD,Technology services
KVUE,Kenvue Inc.,18.965,USD,4.35356200527705,0.825,USD,Consumer non-durables
EME,"EMCOR Group, Inc.",804.695,USD,0.142563161679022,0.93,USD,Industrial services
AMRZ,Amrize Ltd,64.49,USD,0,0,USD,Non-energy minerals
ACGL,Arch Capital Group Ltd.,98.075,USD,0,0,USD,Finance
JD,"JD.com, Inc.",27.275,USD,3.59897172236504,0.98,USD,Retail trade
A,"Agilent Technologies, Inc.",125.28,USD,0.804347826086957,0.992,USD,Health technology
UAL,"United Airlines Holdings, Inc.",109.21,USD,0,0,USD,Transportation
OTIS,Otis Worldwide Corporation,90.61,USD,1.82219768083932,1.65,USD,Industrial services
PRU,"Prudential Financial, Inc.",101.125,USD,5.35289452815226,5.4,USD,Finance
STT,State Street Corporation,126.17,USD,2.55734036601934,3.2,USD,Finance
WDAY,"Workday, Inc.",133.33,USD,0,0,USD,Technology services
HBAN,Huntington Bancshares Incorporated,17.125,USD,3.62997658079625,0.62,USD,Finance
